"level1code","level1description","level2code","level2description","level3code","level3description","level4code","level4description","level5code","level5description"
"1","Revenue","14","Other revenue","144","Transfers not elsewhere classified","1441","Current transfers not elsewhere classified","14411","Subsidies"
"1","Revenue","14","Other revenue","144","Transfers not elsewhere classified","1441","Current transfers not elsewhere classified","14412","Other current transfers not elsewhere classified1"
"1","Revenue","14","Other revenue","144","Transfers not elsewhere classified","1442","Capital transfers not elsewhere classified","",""
"1","Revenue","14","Other revenue","144","Transfers not elsewhere classified","145","Premiums, fees, and claims related to nonlife insurance and standardized guarantee schemes","1451","Premiums, fees, and current claims1"
"1","Revenue","14","Other revenue","144","Transfers not elsewhere classified","145","Premiums, fees, and claims related to nonlife insurance and standardized guarantee schemes","1452","Capital claims"
"2","Expense","21","Compensation of employees [GFS]","211","Wages and salaries [GFS]","2111","Wages and salaries in cash [GFS]","",""
"2","Expense","21","Compensation of employees [GFS]","211","Wages and salaries [GFS]","2112","Wages and salaries in kind [GFS]","",""
"2","Expense","21","Compensation of employees [GFS]","212","Employers’ social contributions [GFS]","2121","Actual employers’ social contributions [GFS]","",""
"2","Expense","21","Compensation of employees [GFS]","212","Employers’ social contributions [GFS]","2122","Imputed employers’ social contributions [GFS]","",""
"2","Expense","22","Use of goods and services","","","","","",""
"2","Expense","23","Consumption of fixed capital [GFS]","","","","","",""
"2","Expense","24","Interest [GFS]","241","To nonresidents [GFS]","","","",""
"2","Expense","24","Interest [GFS]","242","To residents other than general government [GFS]","","","",""
"2","Expense","24","Interest [GFS]","243","To other general government units [GFS]","","","",""
"2","Expense","25","Subsidies","251","To public corporations","","","",""
"2","Expense","25","Subsidies","252","To private enterprises","","","",""
"2","Expense","25","Subsidies","253","To other sectors","","","",""
"2","Expense","26","Grants","261","To foreign governments","2611","Current","",""
"2","Expense","26","Grants","261","To foreign governments","2612","Capital","",""
"2","Expense","26","Grants","262","To international organizations","2621","Current","",""
"2","Expense","26","Grants","262","To international organizations","2622","Capital","",""
"2","Expense","26","Grants","263","To other general government units","2631","Current","",""
"2","Expense","26","Grants","263","To other general government units","2632","Capital","",""
"2","Expense","27","Social benefits [GFS]","271","Social security benefits [GFS]","2711","Social security benefits in cash [GFS]","",""
"2","Expense","27","Social benefits [GFS]","271","Social security benefits [GFS]","2712","Social security benefits in kind [GFS]","",""
"2","Expense","27","Social benefits [GFS]","272","Social assistance benefits","2721","Social assistance benefits in cash [GFS]","",""
"2","Expense","27","Social benefits [GFS]","272","Social assistance benefits","2722","Social assistance benefits in kind [GFS]","",""
"2","Expense","27","Social benefits [GFS]","273","Employment-related social benefits [GFS]","2731","Employment-related social benefits in cash [GFS]","",""
"2","Expense","27","Social benefits [GFS]","273","Employment-related social benefits [GFS]","2732","Employment-related social benefits in kind [GFS]","",""
"2","Expense","28","Other expense","281","Property expense other than interest","2811","Dividends","",""
"2","Expense","28","Other expense","281","Property expense other than interest","2812","Withdrawals of income from quasi-corporations","",""
"2","Expense","28","Other expense","281","Property expense other than interest","2813","Property expense for investment income disbursements","",""
"2","Expense","28","Other expense","281","Property expense other than interest","2814","Rent","",""
"2","Expense","28","Other expense","281","Property expense other than interest","2815","Reinvested earnings on foreign direct investment","",""
"2","Expense","28","Other expense","282","Transfers not elsewhere classified","2821","Current transfers not elsewhere classified","",""
"2","Expense","28","Other expense","282","Transfers not elsewhere classified","2822","Capital transfers not elsewhere classified","",""
"2","Expense","28","Other expense","283","Premiums, fees, and claims related to nonlife insurance and standardized guarantee schemes","2831","Premiums, fees, and current claims","",""
"2","Expense","28","Other expense","283","Premiums, fees, and claims related to nonlife insurance and standardized guarantee schemes","2832","Capital claims","",""
